Model,MSE,RMSE,R2 Score
Baseline,21.004516503765423,4.58306845942382,0.0
Linear Regression,5.656642833231218,2.378369784796136,0.7241341236974024
Ridge Regression,5.644375514126145,2.3757894507144663,0.724732382211255
KNN Regression,11.407088607594938,3.3774381722830897,0.4436936204794799
